Population,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
24,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
6,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0
25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
20,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
