Species,Petal_Length,Petal_Width,Sepal_Length,Sepal_Width
1,14,2,50,33
3,56,22,64,28
2,46,15,65,28
3,56,24,67,31
3,51,15,63,28
1,14,3,46,34
3,51,23,69,31
2,45,15,62,22
2,48,18,59,32
1,10,2,46,36
2,46,14,61,30
2,51,16,60,27
3,52,20,65,30
2,39,11,56,25
3,55,18,65,30
3,51,19,58,27
3,59,23,68,32
1,17,5,51,33
2,45,13,57,28
3,54,23,62,34
3,67,22,77,38
2,47,16,63,33
3,57,25,67,33
3,66,21,76,30
3,45,17,49,25
1,13,2,55,35
3,52,23,67,30
2,47,14,70,32
2,45,15,64,32
2,40,13,61,28
1,16,2,48,31
3,51,18,59,30
2,38,11,55,24
3,50,19,63,25
3,53,23,64,32
1,14,2,52,34
1,14,1,49,36
2,45,15,54,30
3,64,20,79,38
1,13,2,44,32
3,57,21,67,33
1,16,6,50,35
2,40,12,58,26
1,13,2,44,30
3,67,20,77,28
3,49,18,63,27
1,16,2,47,32
2,44,12,55,26
2,33,10,50,23
3,60,18,72,32
1,14,3,48,30
1,16,2,51,38
3,49,18,61,30
1,19,2,48,34
1,16,2,50,30
1,12,2,50,32
3,56,14,61,26
3,56,21,64,28
1,11,1,43,30
1,12,2,58,40
1,19,4,51,38
2,44,14,67,31
3,48,18,62,28
1,14,2,49,30
1,14,2,51,35
2,45,15,56,30
2,41,10,58,27
1,16,4,50,34
1,14,2,46,32
2,45,15,60,29
2,35,10,57,26
1,15,4,57,44
1,14,2,50,36
3,61,23,77,30
3,56,24,63,34
3,51,19,58,27
2,42,13,57,29
3,58,16,72,30
1,15,4,54,34
1,15,1,52,41
3,59,21,71,30
3,55,18,64,31
3,48,18,60,30
3,56,18,63,29
2,33,10,49,24
2,42,13,56,27
2,42,12,57,30
1,14,2,55,42
1,15,2,49,31
3,69,23,77,26
3,50,15,60,22
1,17,4,54,39
2,46,13,66,29
2,39,14,52,27
2,45,16,60,34
1,15,2,50,34
1,14,2,44,29
2,35,10,50,20
2,37,10,55,24
2,39,12,58,27
1,13,2,47,32
1,15,2,46,31
3,57,23,69,32
2,43,13,62,29
3,61,19,74,28
2,42,15,59,30
1,15,2,51,34
1,13,3,50,35
3,49,20,56,28
2,40,10,60,22
3,63,18,73,29
3,58,18,67,25
1,15,1,49,31
2,47,15,67,31
2,44,13,63,23
1,15,2,54,37
2,41,13,56,30
2,49,15,63,25
2,47,12,61,28
2,43,13,64,29
2,30,11,51,25
2,41,13,57,28
3,58,22,65,30
3,54,21,69,31
1,13,4,54,39
1,14,3,51,35
3,61,25,72,36
3,51,20,65,32
2,47,14,61,29
2,36,13,56,29
2,49,15,69,31
3,53,19,64,27
3,55,21,68,30
2,40,13,55,25
1,16,2,48,34
1,14,1,48,30
1,13,3,45,23
3,50,20,57,25
1,17,3,57,38
1,15,3,51,38
2,40,13,55,23
2,44,14,66,30
2,48,14,68,28
1,17,2,54,34
1,15,4,51,37
1,15,2,52,35
3,51,24,58,28
2,50,17,67,30
3,60,25,63,33
1,15,2,53,37
